,Pos,Players,INNs,GS,QS,CG,W,L,S,BS,K,BBI,HA,ERA,WHIP,Roto Rank,ER,Status,Name,Elig,Team,Owner
10,SP,Jon Gray SP | TEX,98,18,8,0,5,5,0,0,87,32,88,3.86,1.22,330,42.03111111111111,Bench,Jon Gray,SP,TEX,Harvey
11,SP,"Josiah Gray RP,SP | WAS",39,7,3,0,3,2,0,0,36,13,34,4.15,1.21,605,17.983333333333334,Bench,Josiah Gray,"RP,SP",WAS,Harvey
12,SP,Sonny Gray SP | MIN,90,17,7,0,5,5,0,0,80,23,76,3.30,1.10,237,33.0,Bench,Sonny Gray,SP,MIN,Harvey
13,SP,George Kirby SP | SEA,100,19,8,0,5,5,0,0,84,24,89,3.24,1.13,227,36.00000000000001,Bench,George Kirby,SP,SEA,Harvey
14,SP,Bailey Ober SP | MIN,72,14,2,0,2,4,0,0,61,12,66,3.38,1.08,433,27.04,Bench,Bailey Ober,SP,MIN,Harvey
15,SP,"Freddy Peralta RP,SP | MIL",53,10,4,0,4,2,0,0,60,18,40,3.23,1.09,360,19.02111111111111,Bench,Freddy Peralta,"RP,SP",MIL,Harvey
0,SP,Jose Berrios SP | TOR,103,17,10,0,6,5,0,0,97,28,93,3.76,1.17,229,43.03111111111111,Start,Jose Berrios,SP,TOR,Lil Trump
1,SP,Paul Blackburn SP | OAK,96,17,4,0,5,5,0,0,63,21,83,2.53,1.08,191,26.986666666666665,Start,Paul Blackburn,SP,OAK,Lil Trump
2,SP,Gerrit Cole SP | NYY,114,19,13,1,9,4,0,0,133,30,91,3.08,1.06,32,39.01333333333333,Start,Gerrit Cole,SP,NYY,Lil Trump
3,SP,Logan Gilbert SP | SEA,90,16,8,0,6,4,0,0,81,27,76,3.30,1.14,219,33.0,Start,Logan Gilbert,SP,SEA,Lil Trump
4,SP,"Triston McKenzie RP,SP | CLE",97,17,10,0,6,5,0,0,96,32,77,3.62,1.12,185,39.01555555555556,Start,Triston McKenzie,"RP,SP",CLE,Lil Trump
5,SP,"Tarik Skubal RP,SP | DET",101,18,9,0,5,7,0,0,88,25,91,3.48,1.15,247,39.053333333333335,Start,Tarik Skubal,"RP,SP",DET,Lil Trump
6,SP,Blake Snell SP | SD,33,8,2,0,3,2,0,0,39,17,26,4.36,1.30,632,15.986666666666666,Start,Blake Snell,SP,SD,Lil Trump
7,RP,Joe Barlow RP | TEX,42,0,0,0,1,2,17,1,36,15,25,2.57,0.95,246,11.993333333333334,Start,Joe Barlow,RP,TEX,Lil Trump
8,RP,Camilo Doval RP | SF,38,0,0,0,1,1,20,5,46,13,27,2.60,1.05,202,10.97777777777778,Start,Camilo Doval,RP,SF,Lil Trump
9,SP,Zach Eflin SP | PHI,87,15,7,0,4,5,0,0,74,17,79,3.52,1.10,315,34.02666666666667,Bench,Zach Eflin,SP,PHI,Lil Trump
10,SP,Yusei Kikuchi SP | TOR,80,16,5,0,5,3,0,0,74,28,64,3.38,1.15,298,30.044444444444444,Bench,Yusei Kikuchi,SP,TOR,Lil Trump
11,SP,Grayson Rodriguez SP | BAL,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,9999,0.0,Bench,Grayson Rodriguez,SP,BAL,Lil Trump
12,SP,"Ranger Suarez RP,SP | PHI",88,17,7,0,6,5,0,0,73,27,89,3.78,1.32,374,36.96,Bench,Ranger Suarez,"RP,SP",PHI,Lil Trump
13,SP,Jose Urquidy SP | HOU,89,17,7,0,6,4,0,0,76,19,87,3.94,1.19,319,38.96222222222222,Bench,Jose Urquidy,SP,HOU,Lil Trump
14,SP,Jacob deGrom SP | NYM,76,12,10,1,5,2,0,0,84,15,51,2.25,0.87,90,19.0,Bench,Jacob deGrom,SP,NYM,Lil Trump
0,SP,Carlos Carrasco SP | NYM,97,17,7,0,8,4,0,0,89,25,88,3.62,1.16,162,39.01555555555556,Start,Carlos Carrasco,SP,NYM,Lima Time
1,SP,Dylan Cease SP | CHW,96,18,5,0,7,5,0,0,106,37,76,3.09,1.18,119,32.96,Start,Dylan Cease,SP,CHW,Lima Time
2,SP,Sean Manaea SP | SD,103,17,11,0,6,5,0,0,102,34,93,3.41,1.23,205,39.025555555555556,Start,Sean Manaea,SP,SD,Lima Time
3,SP,Jordan Montgomery SP | NYY,95,17,8,0,4,2,0,0,84,20,83,3.32,1.08,248,35.044444444444444,Start,Jordan Montgomery,SP,NYY,Lima Time
4,SP,Justin Verlander SP | HOU,102,17,11,0,9,4,0,0,102,31,91,3.71,1.20,124,42.04666666666667,Start,Justin Verlander,SP,HOU,Lima Time
