Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
Joe Musgrove,SDP,13,10,18,3.73809,32,32,0,0,194,811,179,87,81,25,52,12,189,8.7759,2.4161,3.63226,1.14,0.233634,0.064322,0.1693120598793029,0.239896,1.19095,0.290065,0.730777,0.427274,,3.79356,3.12638,2.99258,76.86000061035156,,,,12970
Alex Cobb,SFG,11,9,16,3.47487,29,29,0,0,166,695,159,71,64,14,50,6,161,8.72049,2.69116,3.24042,0.754,0.231868,0.0715551,0.1603131219744682,0.248258,1.25391,0.311819,0.727737,0.544669,,3.26112,3.12167,3.09714,231.72999572753903,,,,6562
Brady Singer,KCR,11,11,17,3.82087,31,31,0,0,184,776,179,85,78,19,55,10,169,8.30501,2.67579,3.10377,0.949,0.218145,0.070284,0.1478610783815384,0.25131,1.27235,0.304949,0.719505,0.48049,,3.68846,3.11941,3.16058,177.9499969482422,,,,25377
Zac Gallen,ARI,11,10,17,3.79867,31,31,0,0,182,769,168,83,77,21,57,9,195,9.59738,2.81116,3.41403,1.03,0.253051,0.0741209,0.1789299398660659,0.239547,1.23576,0.302531,0.724324,0.426088,,3.54526,3.03206,3.07694,71.5,,,,19291
Logan Webb,SFG,11,11,18,3.77747,32,32,0,0,193,817,196,89,81,17,55,9,166,7.71538,2.54805,3.02796,0.792,0.202743,0.066957,0.1357860490679741,0.259751,1.29626,0.313058,0.711444,0.542659,,3.52553,2.98684,2.88944,109.5500030517578,,,,17995
Chris Sale,BOS,10,8,14,3.49149,26,26,0,0,147,606,127,62,57,17,41,8,172,10.5525,2.53949,4.15536,1.024,0.283745,0.068284,0.2154608815908432,0.228842,1.15114,0.300756,0.736549,0.432774,,3.25147,2.90029,3.00835,164.5,,,,10603
Yu Darvish,SDP,12,10,18,3.89232,31,31,0,0,189,781,172,88,82,27,46,9,196,9.32804,2.17672,4.28536,1.296,0.251028,0.058578,0.1924498230218887,0.236229,1.14872,0.286957,0.723787,0.372739,,3.78124,2.8989,2.55744,78.91000366210938,,,,13074
Lance Lynn,CHW,11,11,17,3.89372,31,31,0,0,183,765,175,85,79,26,43,8,177,8.69318,2.1005,4.13862,1.276,0.231142,0.05585,0.175292145460844,0.245027,1.18922,0.291439,0.729751,0.40578,,3.85758,2.7615,2.43642,137.08999633789062,,,,2520
Julio UrÃ­as,LAD,12,10,17,4.03489,32,32,0,0,190,800,183,91,85,28,50,7,183,8.65787,2.38013,3.63756,1.333,0.228664,0.0628619,0.1658019796013832,0.246508,1.22734,0.291407,0.732265,0.370701,,4.0166,2.75326,2.38846,57.90999984741211,,,,14765
Alek Manoah,TOR,12,11,18,4.0346,32,32,0,0,199,842,183,96,89,28,61,13,195,8.80932,2.7362,3.21955,1.252,0.231685,0.071962,0.1597230285406112,0.23883,1.22428,0.285583,0.721631,0.385266,,4.07791,2.60034,2.19019,69.63999938964844,,,,26410
