playerid,Name,Team,G,PA,AB,H,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA
11338,Adrián Sanchez,WSN,78,263,246,64,5,30,24,14,46,1,5,3,0.26,0.3,0.382,0.682,0.294
sa3007870,Connor Hollis,TBR,68,277,252,57,5,29,19,18,63,5,7,2,0.226,0.29,0.341,0.631,0.278
22799,Geraldo Perdomo,ARI,102,431,377,85,5,47,28,43,95,7,10,7,0.225,0.315,0.321,0.636,0.284
sa872782,Oscar Gonzalez,,130,516,496,131,22,55,66,16,119,3,2,2,0.264,0.291,0.444,0.734,0.313
sa3014527,Justin Foscue,TEX,71,300,273,62,10,37,38,20,80,5,1,1,0.227,0.291,0.396,0.687,0.298
11470,Tony Wolters,,97,316,278,61,4,35,32,26,69,7,1,2,0.219,0.299,0.306,0.605,0.27
sa738459,Cody Thomas,OAK,96,403,366,72,14,42,46,29,147,4,1,1,0.197,0.261,0.374,0.636,0.274
sa3011540,Michael Busch,LAD,108,492,436,97,18,61,60,42,144,8,1,2,0.222,0.301,0.399,0.7,0.304
15117,Hunter Dozier,KCR,138,547,492,117,20,60,61,47,147,4,4,3,0.238,0.307,0.437,0.744,0.319
15564,Tyler White,,100,396,337,81,11,51,42,48,82,4,1,1,0.24,0.338,0.395,0.733,0.322
20493,Seth Beer,ARI,119,516,455,118,17,64,56,35,110,22,0,2,0.259,0.34,0.424,0.764,0.332
sa3005582,Liover Peguero,PIT,98,444,415,96,8,49,35,23,115,2,19,4,0.231,0.274,0.342,0.616,0.268
sa735866,Jhonny Pereda,SFG,85,332,298,67,4,32,23,29,59,1,2,1,0.225,0.294,0.312,0.606,0.269
17766,DJ Stewart,BAL,106,382,329,74,16,48,51,45,97,5,3,2,0.225,0.325,0.426,0.751,0.325
19627,Brent Rooker,MIN,108,440,385,83,21,54,55,40,148,11,1,1,0.216,0.306,0.434,0.74,0.318
19667,Zach Reks,TEX,104,428,381,89,15,54,50,39,128,5,1,1,0.234,0.311,0.402,0.713,0.311
sa829082,Nick Tanielu,,103,415,380,88,10,44,39,26,84,3,2,1,0.232,0.284,0.368,0.652,0.282
15055,Dom Nuñez,COL,78,284,246,50,12,34,35,34,94,2,1,1,0.203,0.303,0.415,0.717,0.306
18433,P.J. Higgins,CHC,89,355,318,74,6,36,31,29,76,3,3,2,0.233,0.299,0.333,0.633,0.28
16337,Nick Gordon,MIN,93,356,330,83,6,36,35,19,81,4,16,3,0.252,0.298,0.37,0.667,0.29
9776,Jason Kipnis,,94,373,333,78,11,38,43,31,81,4,3,1,0.234,0.305,0.387,0.692,0.3
27461,Shogo Akiyama,CIN,127,483,439,114,9,52,42,37,87,5,6,7,0.26,0.324,0.38,0.704,0.308
19262,Garrett Hampson,COL,140,490,448,112,12,65,37,34,119,2,20,6,0.25,0.305,0.404,0.709,0.305
16729,Brian O'Grady,,115,425,378,80,16,47,48,38,129,4,10,3,0.212,0.288,0.397,0.685,0.295
20220,Jo Adell,LAA,113,483,448,108,21,53,76,28,138,4,8,3,0.241,0.291,0.444,0.735,0.314
sa3010848,Maverick Handley,BAL,62,228,206,35,4,25,17,17,75,4,7,1,0.17,0.246,0.262,0.508,0.23
3298,Charlie Culberson,,102,246,226,56,6,25,24,14,60,2,5,1,0.248,0.296,0.398,0.695,0.298
12977,Michael Perez,PIT,73,249,225,46,7,24,27,21,67,1,0,1,0.204,0.273,0.351,0.624,0.271
sa829756,Tristan Gray,TBR,99,391,353,72,10,41,38,30,112,4,1,4,0.204,0.272,0.351,0.623,0.272
17452,Jose Siri,HOU,120,473,437,98,15,55,58,27,172,4,20,5,0.224,0.274,0.387,0.661,0.285
sa737922,Xavier Fernández,CHW,74,283,261,61,9,31,28,16,55,2,2,1,0.234,0.281,0.375,0.657,0.283
12944,Sócrates Brito,,110,434,397,95,11,54,48,27,108,3,13,4,0.239,0.29,0.383,0.673,0.291
