,index,Avail,Player,AB,R,H,HR,RBI,BB,K,SB,CS,BA,OBP,SLG,Rank,Team,Pos,Owner,top_50,top_100,top_276,above_276,Start,IP,APP,GS,QS,CG,W,L,S,BS,HD,SO,BBa,Ha,ERA,WHIP,Sv+Hld,ER,C,1B,2B,3B,SS,MI,CI,OF,DH,SP,RP,P,type,zlgBA,zlgERA,zlgWHIP,zR,zHR,zRBI,zSB,zzlgBA,BIGAAh,zW,zSO,zSv+Hld,zzlgERA,zzlgWHIP,BIGAAp,z,all_pos
56,3,Brewbi...,Julio Teheran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,MIL,SP,Brewbirds,1.0,1.0,1.0,0.0,1.0,11.1,2.0,2.0,0.9,0.0,0.6,0.6,0.0,0.0,0.0,9.9,2.8,10.1,4.03,1.14,0.0,4.9703333333333335,0,0,0,0,0,0,0,0,0,8,0,5.0,p,,-5.432836087539094,0.6424296560964713,,,,,,0.0,0.9467060708521358,1.175675214814839,-0.5148217321916031,-1.4868746009286604,0.7901929944407409,0.9108779469874522,0.9108779469874522,"['SP', 'P']"
57,4,Brewbi...,Max Scherzer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,NYM,SP,Brewbirds,1.0,1.0,1.0,0.0,1.0,6.1,1.0,1.0,0.6,0.0,0.4,0.2,0.0,0.0,0.0,7.0,1.2,5.5,3.58,1.07,0.0,2.426444444444444,0,0,0,0,0,0,0,0,0,17,0,5.0,p,,-0.24061262468363864,0.7422361173142757,,,,,,0.0,0.07589626728350446,0.16690503185346375,-0.5148217321916031,-0.06585157264829829,0.912955643558526,0.5750836378555928,0.5750836378555928,"['SP', 'P']"
58,5,Brewbi...,MacKenzie Gore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,WAS,SP,Brewbirds,1.0,1.0,1.0,0.0,1.0,10.1,2.0,2.0,0.7,0.0,0.5,0.6,0.0,0.0,0.0,12.0,4.1,10.2,3.95,1.38,0.0,4.432777777777778,0,0,0,0,0,0,0,0,0,18,0,5.0,p,,-4.1353913949680035,-1.977609051659968,,,,,,0.0,0.5113011690678201,1.9061639679937659,-0.5148217321916031,-1.1317861115265275,-2.432473039709171,-1.6616157463657155,-1.6616157463657155,"['SP', 'P']"
59,6,Brewbi...,Alexis Diaz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,CIN,RP,Brewbirds,1.0,1.0,1.0,0.0,1.0,2.1,2.9,0.0,0.0,0.0,0.1,0.1,1.5,0.1,0.1,4.3,1.5,1.6,2.49,1.29,1.6,0.5810000000000001,0,0,0,0,0,0,0,0,0,0,42,5.0,p,,2.2061661456007124,-0.5379187137114787,,,,,,0.0,-1.2303184380694427,-0.7722947936622995,2.308603113538447,0.603790056329172,-0.661643800406303,0.24813613772957344,0.24813613772957344,"['RP', 'P']"
60,7,Brewbi...,Lance Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,CHW,SP,Brewbirds,0.0,1.0,1.0,0.0,1.0,6.0,1.0,1.0,0.5,0.0,0.3,0.4,0.0,0.0,0.0,6.9,1.8,5.0,3.84,1.12,0.0,2.56,0,0,0,0,0,0,0,0,0,19,0,5.0,p,,-1.7966681554265307,0.5202322465386322,,,,,,0.0,-0.35950863450081144,0.13211985313065783,-0.5148217321916031,-0.4917174388397795,0.6398893214158606,-0.5940386309856757,-0.5940386309856757,"['SP', 'P']"
61,8,Brewbi...,Craig Kimbrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,PHI,RP,Brewbirds,0.0,1.0,1.0,0.0,1.0,2.0,2.6,0.0,0.0,0.0,0.1,0.1,1.2,0.1,0.1,3.1,0.9,1.4,3.39,1.15,1.3,0.7533333333333334,0,0,0,0,0,0,0,0,0,0,41,5.0,p,,0.3011106148578211,0.14007741551287767,,,,,,0.0,-1.2303184380694427,-1.1897169383359718,1.779210954964063,0.08240884099724656,0.1722962060783503,-0.38611937436575505,-0.38611937436575505,"['RP', 'P']"
62,9,Brewbi...,Carlos Estevez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,LAA,RP,Brewbirds,0.0,0.0,1.0,0.0,0.0,2.1,2.6,0.0,0.0,0.0,0.1,0.1,1.2,0.1,0.1,2.7,1.1,2.0,3.04,1.36,1.3,0.7093333333333334,0,0,0,0,0,0,0,0,0,0,38,5.0,p,,1.051166145600713,-0.5379187137114787,,,,,,0.0,-1.2303184380694427,-1.328857653227196,1.779210954964063,0.2876862504345781,-0.661643800406303,-1.1539226863043006,-1.1539226863043006,"['RP', 'P']"
63,10,Brewbi...,Scott Barlow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,KC,RP,Brewbirds,0.0,0.0,1.0,0.0,0.0,2.2,3.0,0.0,0.0,0.0,0.1,0.1,1.0,0.2,0.2,4.2,1.4,2.8,4.1,1.56,1.2,1.0022222222222221,0,0,0,0,0,0,0,0,0,0,33,5.0,p,,-1.230778323656394,-1.515914842935834,,,,,,0.0,-1.2303184380694427,-0.8070799723851053,1.6027469021059344,-0.33684304097000306,-1.8645859164333944,-2.6360804657520114,-2.6360804657520114,"['RP', 'P']"
64,11,Brewbi...,Andres Munoz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,SEA,RP,Brewbirds,0.0,0.0,1.0,0.0,0.0,2.1,2.8,0.0,0.0,0.0,0.1,0.2,0.0,0.0,1.2,3.5,0.7,1.6,2.7,0.97,1.2,0.6300000000000001,0,0,0,0,0,0,0,0,0,0,18,5.0,p,,1.7651661456007126,0.26208128628852156,,,,,,0.0,-1.2303184380694427,-1.0505762234447478,1.6027469021059344,0.4830958758966907,0.322361825040203,0.12730994152863756,0.12730994152863756,"['RP', 'P']"
65,12,Brewbi...,Hunter Greene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,CIN,SP,Brewbirds,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,14,0,5.0,p,,-0.0,-0.0,,,,,,0.0,-1.6657233398537585,-2.2680574787429593,-0.5148217321916031,1.0548303090928963e-15,1.2728728818338194e-15,-4.448602550788319,-4.448602550788319,"['SP', 'P']"
