"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","BsR","Fld","-1","Off","Def","WAR","playerid"
"Eduardo Escobar","NYM","118","490","444","110","23","4","21","59","66","42","108","1","1","1","",".247",".313",".459",".772",".328","","0.0","0.4","","6.6","0.5","2.3","6153"
"Josh Donaldson","NYY","108","438","370","88","19","0","19","56","58","62","102","4","1","1","",".238",".352",".445",".797",".345","","-1.3","1.0","","9.5","-1.3","2.3","5038"
"Brandon Crawford","SFG","114","442","395","99","20","2","13","53","56","40","89","6","6","2","",".251",".326",".412",".738",".317","","0.0","3.2","","0.0","8.2","2.3","5343"
"Kyle Schwarber","PHI","108","431","368","89","16","1","28","63","69","57","119","4","2","2","",".243",".349",".520",".869",".366","","-1.2","-0.2","","14.0","-5.5","2.3","16478"
"Jeimer Candelario","DET","124","521","463","114","28","3","15","62","53","50","117","5","1","1","",".247",".325",".416",".742",".321","","-0.8","2.0","","1.2","3.9","2.3","13621"
"Ke'Bryan Hayes","PIT","99","415","371","96","23","2","8","49","39","37","88","3","8","2","",".260",".330",".398",".728",".317","","0.5","7.5","","-0.5","9.0","2.2","18577"
"Salvador Perez","KCR","121","500","469","117","21","0","29","57","78","18","127","10","1","0","",".250",".290",".482",".772",".325","","0.0","0.2","","2.3","2.8","2.2","7304"
"Christian Yelich","MIL","106","451","382","100","19","2","18","69","61","61","109","4","13","2","",".263",".368",".470",".838",".358","","1.6","-2.2","","14.6","-7.6","2.2","11477"
"MJ Melendez","KCR","97","405","361","88","19","2","16","47","50","35","98","2","2","3","",".244",".313",".440",".753",".323","","-1.3","0.6","","0.1","8.1","2.2","22197"
"Josh Bell","WSN","120","481","419","118","24","2","23","67","85","57","86","3","0","1","",".281",".368",".507",".876",".371","","-2.4","-2.2","","16.4","-10.6","2.2","13145"
"Seiya Suzuki","CHC","120","503","452","128","25","2","21","70","75","45","94","4","10","6","",".284",".351",".483",".834",".352","","-1.1","-0.8","","11.1","-6.1","2.2","30116"
"Willson Contreras","CHC","103","400","345","83","17","1","16","52","52","41","105","12","3","2","",".239",".339",".437",".777",".337","","-0.7","-0.4","","3.8","4.3","2.1","11609"
"Nicky Lopez","KCR","127","496","441","118","20","4","3","58","32","40","65","4","12","3","",".268",".333",".351",".684",".303","","1.0","7.0","","-5.7","10.2","2.1","19339"
"Mitch Haniger","SEA","111","483","435","107","20","2","25","71","73","39","121","7","2","0","",".246",".316",".472",".788",".335","","-0.3","0.2","","9.9","-5.1","2.1","14274"
"Spencer Torkelson","DET","110","463","398","96","20","1","23","59","64","49","106","7","3","2","",".242",".333",".472",".805",".345","","-0.4","2.9","","10.3","-5.1","2.1","27465"
"Sean Murphy","OAK","97","348","308","69","18","1","14","42","47","29","95","8","1","0","",".224",".306",".425",".731",".316","","-0.1","4.1","","1.3","7.7","2.1","19352"
"Adam Duvall","ATL","117","437","399","89","17","2","25","52","89","30","131","5","2","0","",".224",".284",".465",".749",".316","","0.7","7.1","","-2.6","8.9","2.1","10950"
"Tyler Stephenson","CIN","108","345","302","80","15","0","9","45","38","35","71","6","0","0","",".264",".348",".403",".751",".329","","-0.7","3.2","","-0.7","9.3","2.0","17988"
"Andrew Benintendi","KCR","119","498","449","126","26","4","13","61","59","41","91","4","8","5","",".281",".343",".442",".785",".339","","-1.6","1.8","","6.3","-3.2","2.0","17901"
"Joey Wendle","MIA","106","392","360","98","23","3","7","51","37","21","74","8","9","4","",".271",".325",".415",".740",".318","","0.4","2.8","","1.4","5.3","2.0","13853"
"Giancarlo Stanton","NYY","109","458","406","104","16","0","26","51","78","45","132","3","1","0","",".257",".333",".484",".818",".347","","-0.1","0.2","","12.0","-7.8","2.0","4949"
"Paul DeJong","STL","111","427","379","81","18","1","16","52","52","37","112","8","6","2","",".215",".296",".392",".688",".299","","0.4","5.7","","-5.4","10.5","1.9","18015"
"Kolten Wong","MIL","113","432","384","100","20","3","10","53","41","30","74","12","12","4","",".259",".330",".406",".735",".319","","1.1","3.8","","-0.4","5.4","1.9","12532"
"Dylan Carlson","STL","131","536","475","123","28","5","15","67","60","48","119","9","4","2","",".259",".335",".436",".771",".332","","-0.1","0.0","","7.2","-5.8","1.9","20126"
"Isaac Paredes","TBR","90","363","317","80","12","2","11","45","35","39","58","3","1","1","",".251",".336",".404",".741",".323","","-0.5","1.6","","3.9","3.0","1.9","20036"
"Jose Miranda","MIN","103","456","424","114","25","1","14","59","57","21","62","7","2","2","",".269",".312",".428",".740",".318","","-0.7","2.3","","-0.3","4.0","1.9","20538"
"Ha-Seong Kim","SDP","112","390","348","82","18","2","12","51","52","35","79","4","9","1","",".236",".311",".406",".718",".311","","1.5","2.1","","-0.1","6.3","1.9","27506"
"Nathaniel Lowe","TEX","130","534","467","125","22","2","17","65","64","62","127","2","5","0","",".268",".355",".435",".789",".342","","0.6","-1.9","","12.6","-11.7","1.9","19566"
"Keibert Ruiz","WSN","90","368","337","91","18","1","13","38","48","24","45","4","0","0","",".269",".322",".440",".762",".327","","-0.2","-0.2","","0.7","5.9","1.9","19610"
"Jared Walsh","LAA","123","484","439","115","24","2","25","61","86","39","126","4","2","1","",".263",".327",".495",".822",".347","","-1.2","0.0","","10.7","-8.3","1.9","18607"
"Jesús Sánchez","MIA","101","403","367","90","13","3","16","45","51","30","110","5","2","2","",".246",".309",".434",".743",".317","","-1.3","4.5","","-0.5","5.9","1.9","19913"
"Whit Merrifield","KCR","134","593","551","149","31","4","9","73","53","34","87","4","27","5","",".271",".315",".389",".704",".304","","2.5","5.9","","-4.8","3.1","1.9","11281"
"C.J. Cron","COL","112","443","392","106","24","1","25","55","75","38","98","10","1","0","",".271",".348",".531",".879",".370","","-0.1","2.3","","10.4","-6.8","1.8","12546"
"Jeremy Peña","HOU","86","366","336","84","11","4","14","36","36","21","96","6","7","3","",".251",".304",".430",".735",".315","","0.1","1.1","","0.8","5.0","1.8","21636"
"Mark Canha","NYM","108","434","364","90","15","2","14","59","49","51","98","16","5","1","",".247",".361",".416",".777",".342","","-0.1","-2.7","","10.6","-6.8","1.8","11445"
"Miguel Rojas","MIA","116","446","410","106","20","2","7","46","38","28","56","5","8","3","",".258",".312",".366",".678",".296","","-0.2","6.9","","-7.4","10.7","1.8","7802"
"Teoscar Hernández","TOR","112","453","414","112","21","2","25","63","77","31","120","5","8","3","",".269",".326",".505",".831",".352","","0.8","-4.3","","12.0","-9.3","1.8","13066"
"Yandy Díaz","TBR","102","417","360","96","17","1","9","50","44","52","62","3","1","1","",".267",".362",".397",".760",".334","","-1.6","-0.9","","7.1","-3.4","1.8","16578"
"Ryan McMahon","COL","129","487","432","108","25","2","20","62","71","48","135","4","4","2","",".250",".329",".453",".782",".335","","-0.4","2.6","","-3.0","4.5","1.8","15112"
"Adolis García","TEX","126","504","469","109","22","3","24","64","77","24","147","7","12","5","",".233",".278",".444",".722",".306","","0.7","3.7","","-3.1","3.6","1.8","19287"
"Jacob Stallings","MIA","92","327","293","70","13","1","6","30","35","28","71","3","0","0","",".239",".310",".349",".659",".290","","-0.6","8.3","","-7.3","13.9","1.8","13723"
"Brian Anderson","MIA","92","371","324","82","17","1","11","43","40","36","89","9","4","1","",".253",".342",".417",".759",".330","","0.8","0.5","","5.5","-0.4","1.7","18289"
"José Abreu","CHW","121","523","469","122","26","2","22","66","88","40","114","11","1","0","",".261",".332",".465",".797",".340","","-0.6","-0.7","","10.1","-10.5","1.7","15676"
"Gabriel Arias","CLE","100","422","389","101","21","2","11","51","41","24","105","4","4","1","",".260",".308",".409",".716",".309","","0.1","0.8","","-2.5","5.5","1.7","22563"
"Taylor Ward","LAA","91","372","324","85","20","1","15","53","47","40","92","5","5","3","",".263",".350",".475",".825",".354","","-0.4","-2.5","","10.9","-6.4","1.7","17548"
"Akil Baddoo","DET","111","410","368","94","18","6","12","55","48","40","103","0","16","3","",".257",".328",".438",".767",".329","","2.1","-4.6","","6.3","-3.2","1.7","22168"
"Alex Verdugo","BOS","123","485","439","125","26","2","12","61","51","38","72","2","5","2","",".285",".342",".430",".772",".330","","-0.5","3.7","","2.4","-2.0","1.7","17027"
"Michael Brantley","HOU","105","452","414","123","25","2","9","55","48","31","53","3","2","1","",".296",".347",".433",".780",".337","","-0.8","1.4","","8.2","-6.7","1.7","4106"
"Jake Burger","CHW","99","443","397","100","14","1","16","50","47","32","87","10","2","2","",".251",".321",".416",".736",".320","","-0.8","-0.6","","0.8","0.8","1.7","22275"
"Adam Frazier","SEA","132","530","480","128","23","4","7","65","40","37","67","7","6","5","",".266",".326",".372",".698",".305","","-1.2","2.1","","-3.0","1.6","1.7","15223"
"Adalberto Mondesi","KCR","82","326","304","72","14","5","9","40","37","16","96","1","31","5","",".238",".277",".407",".683",".292","","4.1","5.3","","-3.4","8.9","1.7","13769"
"Rhys Hoskins","PHI","109","465","394","92","25","2","22","62","69","62","116","6","2","2","",".234",".345",".480",".824",".353","","-0.6","-1.8","","10.7","-9.6","1.7","16472"
"Danny Jansen","TOR","71","242","211","50","12","1","12","33","33","23","49","5","0","0","",".234",".321",".462",".784",".336","","0.3","0.8","","3.1","5.2","1.7","16535"
"Austin Slater","SFG","110","324","284","72","14","2","10","40","37","33","85","5","11","2","",".251",".338",".422",".760",".329","","1.7","1.7","","5.0","0.6","1.6","16153"
"Francisco Mejía","TBR","78","266","244","62","13","2","8","30","34","14","53","5","0","0","",".255",".309",".427",".735",".315","","0.0","0.8","","1.4","5.7","1.6","16403"
"Max Stassi","LAA","74","253","226","51","8","1","10","32","28","22","79","5","0","0","",".225",".305",".399",".704",".307","","-0.3","4.4","","-2.5","10.0","1.6","10059"
"Isiah Kiner-Falefa","NYY","131","525","486","129","22","2","7","61","44","26","79","8","14","4","",".265",".311",".361",".672",".293","","0.8","1.2","","-8.9","7.2","1.6","16512"
"Patrick Wisdom","CHC","102","380","341","78","15","0","25","53","64","33","140","3","5","2","",".228",".300",".494",".794",".335","","-0.1","-0.9","","3.4","0.0","1.6","13602"
"Omar Narváez","MIL","103","364","322","81","13","0","10","39","39","35","74","5","0","0","",".252",".332",".390",".722",".315","","-0.3","-0.4","","-2.9","6.8","1.6","13338"
"Mike Yastrzemski","SFG","111","430","383","93","21","3","17","56","52","38","107","6","3","2","",".244",".321",".451",".772",".329","","-0.8","1.6","","3.7","-1.9","1.6","14854"
"Nick Castellanos","PHI","122","512","468","131","31","2","22","72","74","35","110","6","3","2","",".280",".335",".494",".830",".351","","-0.5","-5.2","","11.2","-12.2","1.6","11737"
"Gio Urshela","MIN","109","404","375","104","23","1","12","47","49","23","79","2","1","0","",".278",".321",".438",".759",".325","","-0.5","-1.1","","2.4","-0.2","1.6","10681"
"Mike Zunino","TBR","88","299","271","52","10","1","18","38","44","22","107","5","0","0","",".191",".262",".433",".696",".296","","-0.1","3.2","","-3.2","9.0","1.6","13265"
"Gleyber Torres","NYY","120","477","425","109","20","1","17","53","61","43","98","3","8","3","",".257",".326",".425",".751",".324","","-0.5","-3.4","","2.8","-3.1","1.6","16997"
"Brandon Belt","SFG","96","381","327","80","15","2","18","51","47","48","96","5","2","2","",".246",".349",".467",".816",".350","","-0.7","1.1","","9.7","-6.6","1.6","10264"
"Robbie Grossman","DET","124","490","415","103","20","2","13","59","48","65","113","6","11","3","",".247",".353",".401",".754",".331","","-0.5","-1.0","","5.4","-6.4","1.6","5254"
"Jean Segura","PHI","114","485","448","124","22","2","10","61","46","28","66","6","8","3","",".277",".326",".404",".730",".316","","0.3","0.6","","-2.7","2.3","1.6","5933"
"Ian Happ","CHC","127","463","395","96","18","2","20","59","62","61","134","4","7","2","",".244",".348",".452",".799",".345","","0.1","-2.7","","8.3","-8.1","1.6","17919"
