,Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
78,Randy Arozarena,TBR,149,634,567,141,88,29,3,21,84,69,49,2,155,14,4,1,11,28,8,0.249633,0.0773119,0.244695,0.315952,0.322719,0.422253,0.325391,0.744972,0.17262,6.09903,0.305557,,1.73734,80.4439,7.88367,117.717,1.73734,-0.75,14.388713955879211,-8.647879600524902,2.72089,36.81999969482422,,,,19290
79,Jonathan India,CIN,141,595,521,132,85,27,2,18,73,66,54,1,133,16,3,1,11,8,3,0.253235,0.0909255,0.222718,0.408254,0.339903,0.414022,0.332365,0.753925,0.160787,4.23066,0.3055,,-0.193448,78.7821,10.6955,107.536,-0.193448,-1.81,5.020287394523621,0.3659257888793945,2.66524,186.63999938964844,,,,21523
80,Rhys Hoskins,PHI,149,639,549,130,71,28,1,30,83,86,76,1,154,9,4,1,8,3,1,0.237009,0.118338,0.241712,0.489585,0.336687,0.455993,0.34522,0.79268,0.218984,3.04762,0.271783,,-0.543381,91.05,17.9973,121.909,-0.543381,-0.29,15.719096958637238,-11.88688662648201,2.65523,128.08999633789062,,,,16472
81,YoÃ¡n Moncada,CHW,138,583,514,125,78,25,2,20,69,66,59,3,151,5,3,1,10,3,1,0.242258,0.102016,0.258814,0.394166,0.324886,0.414167,0.323199,0.739053,0.171908,3.53368,0.301834,,-0.402058,72.8749,6.22708,110.546,-0.402058,-0.94,6.514924913644791,0.1874508261680603,2.64926,291.17999267578125,,,,17232
82,Jean Segura,MIA,128,542,494,133,98,22,2,11,61,55,34,1,85,7,3,1,14,10,4,0.269753,0.061988,0.15703,0.394752,0.323406,0.389958,0.313468,0.713364,0.120205,4.40737,0.304551,,-0.0738756,63.5533,1.60137,103.971,-0.0738756,2.51,2.4257660657167435,4.435925841331482,2.63098,234.0,,,,5933
83,Yasmani Grandal,CHW,89,347,290,61,41,10,0,10,37,35,48,1,77,2,2,0,7,0,0,0.210508,0.139839,0.221967,0.629998,0.325843,0.351285,0.304911,0.677128,0.140777,1.40308,0.247756,,-0.390609,38.3211,-1.33152,97.6397,-0.390609,9.02,-1.3116727769374847,15.138126373291016,2.60924,293.82000732421875,,,,11368
84,Jeremy PeÃ±a,HOU,139,606,560,141,94,25,3,19,76,68,34,0,151,8,4,1,11,12,3,0.252435,0.0555127,0.248254,0.223613,0.30247,0.409978,0.310824,0.712448,0.157543,5.5369,0.310631,,0.63237,69.8981,0.519678,102.961,0.63237,-3.61,2.654287099838257,2.825185060501098,2.60057,999.0,,,,21636
85,Ian Happ,CHC,147,624,548,134,84,28,3,20,74,70,65,3,155,6,4,2,12,8,3,0.2452,0.103752,0.248648,0.417266,0.328814,0.413169,0.324682,0.741984,0.16797,4.38562,0.304089,,-0.0255484,78.781,7.40375,109.667,-0.0255484,3.23,6.985146131366491,-3.4758405685424805,2.56965,155.36000061035156,,,,17919
86,Teoscar HernÃ¡ndez,SEA,143,603,548,138,80,28,2,28,76,79,45,2,171,5,4,1,9,10,3,0.250955,0.0752304,0.28436,0.264561,0.311712,0.460126,0.33274,0.771838,0.209171,4.45518,0.311586,,0.293996,79.9397,11.0079,122.645,0.293996,-2.45,15.65588092803955,-10.47469162940979,2.55621,77.18000030517578,,,,13066
87,Ke'Bryan Hayes,PIT,139,591,533,137,95,28,3,11,69,56,49,0,120,5,4,1,12,14,4,0.256364,0.0823123,0.203673,0.40414,0.321722,0.380493,0.310001,0.702215,0.124129,5.14654,0.310212,,0.64217,67.7333,0.119667,98.7721,0.64217,3.15,-0.20140141248703,4.682186841964722,2.55559,180.91000366210935,,,,18577
88,Keibert Ruiz,WSN,120,467,424,108,73,23,1,12,48,51,32,1,58,6,4,1,9,2,1,0.255694,0.0690727,0.124254,0.5559,0.314441,0.397422,0.311489,0.711863,0.141727,2.44287,0.269459,,-0.423508,54.0519,0.646394,98.8074,-0.423508,3.27,-1.0706318318843842,9.712357997894289,2.55431,188.7700042724609,,,,19610
89,Mike Zunino,CLE,87,340,306,62,32,12,0,18,39,51,26,0,117,5,2,0,4,0,0,0.203305,0.0771066,0.34405,0.224115,0.276275,0.420051,0.303251,0.696326,0.216746,1.84138,0.2573,,-0.258574,37.1782,-1.75625,96.8766,-0.258574,8.24,-1.4553282260894775,14.952962875366213,2.55375,459.2300109863281,,,,13265
90,Vaughn Grissom,ATL,110,475,434,119,86,21,2,11,58,49,29,1,85,8,3,1,10,9,3,0.27485,0.0608498,0.178869,0.340193,0.329388,0.404888,0.321752,0.734276,0.130037,4.73192,0.318706,,0.171433,58.8881,4.53221,104.873,0.171433,0.16,2.862580507993698,5.152737766504288,2.51785,999.0,,,,26031
91,Nico Hoerner,CHC,136,576,529,146,109,26,5,7,66,53,34,3,74,7,4,2,12,17,5,0.276617,0.058921,0.127635,0.461636,0.326158,0.3839,0.310633,0.710058,0.107282,5.64329,0.307266,,0.849392,66.2925,0.405834,100.064,0.849392,1.36,0.8924095518887043,3.6086772680282593,2.50446,137.9499969482422,,,,21479
92,Andrew Benintendi,CHW,128,541,477,124,85,22,2,14,65,56,55,1,91,4,5,1,10,10,3,0.259557,0.100725,0.168943,0.596206,0.337534,0.405789,0.326438,0.743324,0.146232,4.65136,0.291416,,0.17282,69.1238,7.18049,112.831,0.17282,4.41,7.994511678814888,-1.5159258842468262,2.48843,220.17999267578125,,,,17901
