Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR,ADP,InterSD,InterSK,IntraSD,playerid
Wilson Ramos,,47,174,161,42,7,0,6,18,22,11,33,1,0,0,0.26,0.309,0.417,0.726,0.311,96,0.6,599.8,2.35,3.45,1.43,1433
Andrew Knizner,STL,57,206,183,43,8,0,4,21,19,16,41,3,1,0,0.235,0.303,0.348,0.651,0.285,78,0.6,595.6,1.59,2.55,1.27,19514
Brennen Davis,CHC,43,161,142,34,7,0,6,21,19,14,47,3,3,1,0.237,0.318,0.426,0.744,0.322,102,0.6,999,7.92,0.18,1.39,sa3007876
Pavin Smith,ARI,122,499,445,117,24,3,11,58,53,42,89,3,2,1,0.264,0.327,0.409,0.735,0.317,95,0.6,408.1,3.22,0.51,0.56,19892
Nick Senzel,CIN,80,307,277,72,17,2,7,40,32,26,59,2,7,3,0.261,0.325,0.415,0.74,0.32,94,0.6,478.4,5.12,0,1.17,19293
Johan Camargo,PHI,62,200,182,45,9,1,7,23,23,16,44,1,0,0,0.25,0.313,0.418,0.731,0.315,94,0.6,600.9,4.15,1.04,1.25,14950
Kevin Smith,TOR,74,247,226,52,12,1,9,30,30,18,71,2,4,2,0.231,0.294,0.418,0.712,0.306,89,0.6,594.6,2.45,0.68,1.04,20242
David Bote,CHC,60,226,200,48,9,1,8,25,28,21,54,3,1,1,0.237,0.317,0.408,0.725,0.314,97,0.6,591.4,3.04,0.39,1.09,14593
Zack Collins,CHW,40,147,126,27,6,0,5,17,18,19,46,1,1,0,0.215,0.323,0.388,0.711,0.313,96,0.5,590.2,3.19,0.31,1.32,19181
DJ Stewart,BAL,81,316,268,59,12,1,14,38,37,40,85,4,1,0,0.219,0.33,0.425,0.754,0.328,106,0.5,600.5,4.07,-0.41,0.62,17766
Corey Dickerson,,92,356,330,88,18,3,10,43,40,22,66,2,5,2,0.266,0.315,0.426,0.741,0.317,97,0.5,594.5,3.06,-1.24,0.96,10762
Sam Hilliard,COL,105,386,350,80,15,3,18,48,49,33,129,2,9,2,0.229,0.298,0.445,0.743,0.317,84,0.5,436.8,1.83,1.32,0.76,17954
Kevin Newman,PIT,115,452,419,109,20,3,5,44,39,24,44,3,6,2,0.26,0.303,0.357,0.66,0.287,79,0.5,592.2,3.81,-0.99,1.03,17696
Lewin Díaz,MIA,80,311,287,68,13,1,15,37,41,20,72,3,1,0,0.235,0.29,0.447,0.737,0.313,99,0.5,571.2,4.38,1.02,0.7,18365
Alex Dickerson,,81,280,253,64,13,2,12,35,37,22,63,5,1,0,0.252,0.321,0.457,0.778,0.332,109,0.5,600.5,1.72,-0.13,0.88,12649
Matt Duffy,,56,217,195,52,9,1,3,25,19,18,40,3,4,1,0.267,0.338,0.362,0.699,0.31,94,0.5,586.7,1.93,-1.27,1.54,13836
Randal Grichuk,TOR,128,514,478,116,25,2,23,63,72,29,115,4,1,1,0.243,0.29,0.448,0.738,0.313,94,0.5,400.2,1.61,-0.33,0.54,10243
Jon Berti,MIA,52,195,169,41,7,1,3,24,16,20,45,3,7,2,0.24,0.33,0.34,0.67,0.3,90,0.5,564.8,5.88,0.58,1.57,12037
Austin Hedges,CLE,95,347,313,61,11,0,12,33,37,21,98,3,1,1,0.195,0.25,0.346,0.596,0.256,59,0.5,580.2,2.37,-0.88,0.73,12976
Bobby Bradley,CLE,106,431,383,82,17,1,21,51,60,39,147,6,0,0,0.213,0.294,0.43,0.723,0.31,95,0.5,438.3,2.59,2.01,0.77,17278
Isaac Paredes,DET,32,123,107,27,5,0,3,14,13,13,19,1,0,0,0.255,0.338,0.394,0.732,0.32,102,0.5,600.8,5.42,0.67,1.61,20036
Dom Nuñez,COL,67,247,215,44,9,1,10,28,29,28,77,2,1,0,0.205,0.3,0.401,0.702,0.303,75,0.5,579.1,1.41,-0.61,0.82,15055
Jose Trevino,TEX,80,294,275,65,13,0,6,27,30,12,55,1,1,1,0.235,0.268,0.354,0.622,0.267,68,0.5,585.3,1.68,1.6,0.95,16725
Hoy Park,PIT,45,175,150,36,7,1,3,20,16,21,40,2,3,1,0.237,0.336,0.367,0.702,0.311,94,0.5,599,3.64,0.85,1.46,18027
Jorge Mateo,BAL,105,360,333,79,17,4,7,38,32,17,98,4,14,4,0.238,0.282,0.377,0.659,0.284,77,0.5,455.2,2.69,0.33,1.41,17273
Josh VanMeter,ARI,85,312,275,64,15,2,9,37,35,33,78,3,4,2,0.233,0.32,0.403,0.723,0.315,94,0.5,592.6,3.08,-1.76,0.81,15170
Mike Brosseau,MIL,75,282,251,59,12,1,10,34,33,22,78,5,3,1,0.235,0.309,0.409,0.717,0.31,91,0.5,597.3,3.72,-0.39,0.86,19683
Josh Naylor,CLE,83,320,294,77,16,1,10,36,36,23,55,3,2,1,0.261,0.319,0.424,0.743,0.32,102,0.4,583.2,5.95,0.3,0.97,18839
Nick Pratto,KCR,56,227,201,47,10,1,9,28,29,22,70,2,4,1,0.233,0.314,0.437,0.751,0.322,102,0.4,530.7,4.12,2.65,1.11,sa3004138
Eric Hosmer,SDP,133,541,490,130,23,1,16,60,68,42,104,4,4,2,0.265,0.325,0.412,0.738,0.318,99,0.4,399.7,1.8,-0.33,0.44,3516
Tyler Wade,LAA,97,290,258,59,12,1,4,38,22,25,71,3,20,5,0.229,0.303,0.328,0.631,0.28,75,0.4,463.9,3.73,0.93,2.01,15730
Kevin Pillar,,86,317,299,74,15,2,11,38,39,12,63,5,5,2,0.247,0.287,0.42,0.707,0.302,89,0.4,596.3,7.83,0.31,0.85,12434
Triston Casas,BOS,55,223,197,49,11,1,8,29,28,22,49,2,2,1,0.25,0.33,0.432,0.762,0.329,104,0.4,497.2,2.92,1.36,1.16,sa3007634
Luis Rengifo,LAA,47,182,163,39,7,1,4,21,18,14,36,2,3,2,0.242,0.305,0.376,0.68,0.297,86,0.4,600.3,6.44,1.43,1.42,19858
Brent Rooker,MIN,77,309,273,61,13,1,13,37,38,28,101,7,1,1,0.223,0.311,0.425,0.736,0.318,101,0.4,599.4,5.13,0.43,0.63,19627
Michael Perez,PIT,54,191,173,36,8,1,5,18,20,16,53,1,0,0,0.206,0.278,0.351,0.63,0.276,71,0.4,999,1.65,-0.6,1.15,12977
MJ Melendez,KCR,25,100,89,22,4,1,4,13,14,10,25,1,1,1,0.242,0.319,0.446,0.765,0.328,106,0.4,375.4,4.65,3.86,1.59,sa3004139
Garrett Hampson,COL,117,440,400,100,19,5,11,56,39,31,109,3,17,5,0.25,0.307,0.402,0.709,0.306,77,0.4,277.5,5.1,0.62,1.35,19262
Orlando Arcia,ATL,72,263,240,61,11,1,8,29,29,19,45,1,3,1,0.252,0.308,0.401,0.709,0.305,87,0.4,600.2,7.97,-1.16,1.14,13185
